alert-unique-id,alert-title,alert-trigger,unique-form-name,saved-with-form-status,alert-condition,ensure-logic-still-true,do-not-clear-recurrences,alert-stop-type,send-on,send-on-next-day-type,send-on-next-time,send-on-time-lag-days,send-on-time-lag-hours,send-on-time-lag-minutes,send-on-field-after,send-on-field,send-on-date,alert-send-how-many,every-time-type,repeat-for,repeat-for-units,repeat-for-max,alert-expiration,alert-type,email-from-display,email-from,email-to,email-cc,email-bcc,email-failed,email-subject,alert-message,sendgrid-template-id,sendgrid-template-data,sendgrid-mail-send-configuration,prevent-piping-identifiers,file-upload-fields,phone-number-to,alert-deactivated
A-1339,Payment Request Submitted,LOGIC,,ANY,([qc_passed]='1') and ([send_pay_confirm]='1'),Y,N,RECORD,TIME_LAG,,,0,1,0,after,,,ONCE,,,,,,EMAIL,Powers Lab @ Yale University,maximillian.greenwald@yale.edu,[email_addtl_contact],,,,Payment Request Submitted for Powers Lab Online Research Study!,"<p>Hello! </p> <p> </p> <p>You are receiving this email because you consented to be contacted regarding your participation in an online research study by the Powers Lab. </p> <p> </p> <p>This email is to notify you that <strong>researchers have submitted a request for your $40 payment </strong>and is now being processed by the Yale Business office. </p> <p> </p> <p><span style=""font-size: 12pt;""><strong>Thank you</strong></span> so much for your participation :) </p> <p> </p> <p>You should receive your payment no later than <strong>15 business days</strong> from now. The payment notification will be sent from <span style=""font-size: 12pt;""><strong>gc-orders@amazon.com</strong></span>. Please check both your inbox and spam/junk folders to ensure the email is not filtered out. <em>You will automatically receive another email asking you to confirm whether you have received your payment in 15 business days -- please to the survey attached in this email when you receive it :)</em></p> <p> </p> <p>If at any time you have questions about your payment, then please reach out to <a href=""mailto:maximillian.greenwald@yale.edu"">maximillian.greenwald@yale.edu, </a>CCing <a href=""mailto:silmilly.toribio@yale.edu"">silmilly.toribio@yale.edu</a> and <a href=""mailto:albert.powers@yale.edu"">albert.powers@yale.edu</a> to inquire about the status of your payment!</p> <p> </p> <p>If you opted for a digital US Bank prepaid card, then useful information is attached to this email. </p> <p> </p> <p>Thank you again, and have a fantastic day!</p> <p> </p> <p>---------------------------------------------------------</p> <p>Powers Lab | Yale University</p> <p style=""background: white;""><i>Phone: ‪(203) 441-7213</i></p> <p style=""background: white;""><em>Email: </em><a href=""mailto:powers.lab@yale.edu"">powers.lab@yale.edu</a> </p>",,{},{},Y,,,N
A-1340,fraudulent_email_inconsistentanswers,LOGIC,,ANY,[fraudulent_email_inconsistentanswers]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Inconsistent Answers,"<p>Hello!</p> <p> </p> <p>You are receiving this email because you recently completed a Yale-approved online study conducted by the Powers lab and consented to be contacted regarding research.</p> <p> </p> <p>As part of our commitment to conducting legitimate, high-quality science in order to develop treatments to help folks with mental illness, we carefully review all responses for consistency and accuracy. During our review, <strong>we noticed one or more major inconsistencies in your responses that will need to be resolved for us to use your data</strong>.</p> <p> </p> <p>We realize mistakes happen and people sometimes select the wrong answer (especially in ours long, tedious questionnaire!), but we also have had a massive issue with folks taking the survey multiple times and giving very unreliable responses.</p> <p> </p> <p><strong>If you are confident that your responses were 100% honest, then please schedule Zoom call to clarify your responses at </strong><u><a id=""OWA2f2926b5-1adf-1959-919d-06ff0da85ac0"" class=""OWAAutoLink"" title=""https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Foutlook.office.com%2Fbook%2FYalePsychedelicStudy%40yale.edu%2Fs%2FHrpJRTxvbkGIy88Mc6ZnUg2%3Fismsaljsauthenabled&data=05%7C02%7Cmaximillian.greenwald%40yale.edu%7C6dc95312531d436ad2b208de05c2baa7%7Cdd8cbebb21394df8b4114e3e87abeb5c%7C0%7C0%7C638954531100652140%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=NxPxOI0uxdRdH5t3oi8fx%2FKeIk33wS%2B%2FJu0jBUZ0neo%3D&reserved=0"" href=""https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Foutlook.office.com%2Fbook%2FYalePsychedelicStudy%40yale.edu%2Fs%2FHrpJRTxvbkGIy88Mc6ZnUg2%3Fismsaljsauthenabled&data=05%7C02%7Cmaximillian.greenwald%40yale.edu%7C6dc95312531d436ad2b208de05c2baa7%7Cdd8cbebb21394df8b4114e3e87abeb5c%7C0%7C0%7C638954531100652140%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=NxPxOI0uxdRdH5t3oi8fx%2FKeIk33wS%2B%2FJu0jBUZ0neo%3D&reserved=0"" data-auth=""NotApplicable"" data-ogsc=""blue"" data-outlook-id=""e466fb32-0b48-4864-9496-7a0af01d670b""><strong>this Microsoft Bookings link</strong></a></u>. <em>Please do not request a zoom call if you know the answers you provided were not honest and accurate. </em></p> <p> </p> <p>Thank you for your participation, and we apologize for any frustration!</p> <p>---------------------------------------------------------</p> <p>Powers Lab | Yale University</p> <p data-ogsb=""white""><i>Phone: ‪(203) 441-7213</i></p> <p data-ogsb=""white""><i>Email: </i><u><a id=""OWAbbd2eaee-38c1-5443-4b5a-9f2635e7de01"" class=""OWAAutoLink"" title=""mailto:powers.lab@yale.edu"" href=""mailto:powers.lab@yale.edu"" data-ogsc=""blue"" data-outlook-id=""f922c742-f00b-4844-852c-e57edba26335"">powers.lab@yale.edu</a></u> </p>",,{},{},Y,,,N
A-1341,fraudulent_email,LOGIC,,ANY,[fraudulent_email]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[email_addtl_contact],,,,Powers Lab at Yale Research Study: Inconsistent Answers,"<p>Hello!</p> <p> </p> <p>You are receiving this email because you 1) recently completed a Yale-approved online study conducted by the Powers lab, 2) consented to be contacted regarding research, and 3) gave inconsistent answers suspicious for inattentiveness/repeat survey taking. </p> <p> </p> <p>Because this is medical research, it is critical that we are collecting accurate, high-quality data (our data may impact patients!). </p> <p> </p> <p>Unfortunately, because numerous responses were inconsistent, we will have to assume that the data is not trustworthy and will not be able to use your data. As stated in our consent form, we will thus be unable to provide payment for your responses. </p> <p> </p> <p>Thank you for your participation, and we apologize for any frustration. </p> <p>---------------------------------------------------------</p> <p>Powers Lab | Yale University</p> <p style=""background: white;""><i>Phone: ‪(203) 441-7213</i></p> <p style=""background: white;""><em>Email: </em><a href=""mailto:powers.lab@yale.edu"">powers.lab@yale.edu</a> </p>",,{},{},Y,,,N
A-1342,inconsistent_sp_answers,LOGIC,,ANY,[inconsistent_sp_answers]='1',Y,N,RECORD,TIME_LAG,,,0,0,30,after,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[email_addtl_contact],,,,Powers Lab Online Study: Inconsistent Answers,"<p>Hello!</p> <p> </p> <p>You are receiving this email because you 1) recently completed a Yale-approved online study conducted by the Powers lab, 2) consented to be contacted regarding research, and 3) gave inconsistent answers to some of our important questions that we will need to correct to be able to use your data.</p> <p> </p> <p>In order to have your data used and receive your payment, <strong>please fill out this uber-brief (1-2 minutes) verification survey </strong>of basic demographic information</p> <p> </p> <p>*******</p> <p><span style=""font-size: 14pt;""><strong>[survey-link:clarification_survey:Answer Verification Link]</strong></span></p> <p>*******</p> <p> </p> <p>This is not super uncommon, and usually it just means there was a mistake on a question or two! Transparently though, we have had a massive issue with fraud throughout the study, so if your answers are <em>very suspicious</em> (or if you fail to reply) we will have to assume that the data is not trustworthy and will need to discard your data and withhold payment :( </p> <p> </p> <p>We know mistakes happen, and we always always prefer to use folks' data if they are providing it in earnest and being honest, but we also owe it to everyone to conduct legitimate, rigorous science : )</p> <p> </p> <p>If you would prefer to directly discuss the inconsistent answer(s) via a Zoom call, that is also an option! You can schedule a call with Max at the following link: </p> <p><a href=""https://outlook.office.com/book/YalePsychedelicStudy@yale.edu/s/ruvzBR9YwU6XkwVeneSjpw2?ismsaljsauthenabled"">https://outlook.office.com/book/YalePsychedelicStudy@yale.edu/s/ruvzBR9YwU6XkwVeneSjpw2?ismsaljsauthenabled</a> </p> <p> </p> <p>Thank you very much for your participation and assistance with this!</p> <p> </p> <p>---------------------------------------------------------</p> <p>Powers Lab | Yale University</p> <p style=""background: white;""><i>Phone: ‪(203) 441-7213</i></p> <p style=""background: white;""><em>Email: </em><a href=""mailto:powers.lab@yale.edu"">powers.lab@yale.edu</a> </p>",,{},{},Y,,,N
A-1343,replay_links_ach,LOGIC,,ANY,[replay_links_ach]='1',Y,N,RECORD,TIME_LAG,,,0,0,30,after,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Game Replay Links,"<p>Hello!</p> <p> </p> <p>You are receiving this email because you 1) recently submitted survey responses for an online survey study by the Powers Lab at Yale University, 2) consented to be contacted regarding your research participation, and 3) gave responses to one or more games suggesting directions may have been misunderstood or there was not full engagement the entire time through.</p> <p> </p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p><strong><u>Can You Hear the Tone?</u></strong></p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and listen carefully for the tone!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:auditory_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p>",,{},{},Y,,,N
A-1344,replay_links_ach_2,LOGIC,,ANY,[replay_links_ach_2]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Game Replay Links,"<p>Hello!</p> <p> </p> <p>Thank you so much for playing the game again! Unfortunately, your responses still suggest the game is not being played correctly or there is some misunderstanding. You'll have to play it again to complete the study -- please email <a class=""c-link"" href=""mailto:maximillian.greenwald@yale.edu"" target=""_blank"" rel=""noopener noreferrer"" data-stringify-link=""mailto:maximillian.greenwald@yale.edu"" data-sk=""tooltip_parent"" aria-haspopup=""menu"">maximillian.greenwald@yale.edu</a> if you'd like to chat about the game and/or get help troubleshooting.</p> <p> </p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p><strong><u>Can You Hear the Tone?</u></strong></p> <p> </p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and listen carefully for the tone!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:auditory_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p>",,{},{},Y,,,N
A-1345,replay_links_ach_3,LOGIC,,ANY,[replay_links_ach_3]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Game Replay Links,"<p>Hello!</p> <p> </p> <p>Thank you so much for playing the game again! Unfortunately, your responses still suggest the game is not being played correctly or there is some misunderstanding. You'll have to play it again to complete the study -- please email <a class=""c-link"" href=""mailto:maximillian.greenwald@yale.edu"" target=""_blank"" rel=""noopener noreferrer"" data-stringify-link=""mailto:maximillian.greenwald@yale.edu"" data-sk=""tooltip_parent"" aria-haspopup=""menu"">maximillian.greenwald@yale.edu</a> if you'd like to chat about the game and/or get help troubleshooting</p> <p> </p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p><strong><u>Can You Hear the Tone?</u></strong></p> <p> </p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and listen carefully for the tone!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:auditory_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p>",,{},{},Y,,,N
A-1346,replay_links_ach_4,LOGIC,,ANY,[replay_links_ach_4]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab @ Yale Online Research: Game Replay Links,"<p>Hello!</p> <p> </p> <p>Thank you so much for playing the game again! Unfortunately, your responses still suggest the game is not being played correctly or there is some misunderstanding. You'll have to play it again to complete the study -- please email <a class=""c-link"" href=""mailto:maximillian.greenwald@yale.edu"" target=""_blank"" rel=""noopener noreferrer"" data-stringify-link=""mailto:maximillian.greenwald@yale.edu"" data-sk=""tooltip_parent"" aria-haspopup=""menu"">maximillian.greenwald@yale.edu</a> if you'd like to chat about the game and/or get help troubleshooting</p> <p> </p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p><strong><u>Can You Hear the Tone?</u></strong></p> <p> </p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and listen carefully for the tone!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:auditory_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p>",,{},{},Y,,,N
A-1347,replay_links_vch,LOGIC,,ANY,[replay_links_vch]='1',Y,N,RECORD,TIME_LAG,,,0,0,30,after,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Game Replay Links,"<p>Hello!</p> <p> </p> <p>You are receiving this email because you 1) recently submitted survey responses for an online survey study by the Powers Lab at Yale University, 2) consented to be contacted regarding your research participation, and 3) gave responses to one or more games suggesting directions may have been misunderstood or there was not full engagement the entire time through.</p> <p> </p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p> </p> <p><strong><u>Look for the Pattern!</u></strong></p> <p> </p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and look carefully for the pattern!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:visual_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p> <p> </p>",,{},{},Y,,,N
A-1348,replay_links_vch_2,LOGIC,,ANY,[replay_links_vch_2]='1',N,N,RECORD,NEXT_OCCURRENCE,DAY,9:00,,,,,,,ONCE,,,,,,EMAIL,,maximillian.greenwald@yale.edu,[replay_email],,,,Powers Lab at Yale Research Study: Game Replay Links,"<p>Hello!</p> <p> </p> <p>Thank you so much for playing the game again! Unfortunately, your responses still suggest the game is not being played correctly or there is some misunderstanding. You'll have to play it again to complete the study -- please email <a class=""c-link"" href=""mailto:maximillian.greenwald@yale.edu"" target=""_blank"" rel=""noopener noreferrer"" data-stringify-link=""mailto:maximillian.greenwald@yale.edu"" data-sk=""tooltip_parent"" aria-haspopup=""menu"">maximillian.greenwald@yale.edu</a> if you'd like to chat about the game and/or get help troubleshooting</p> <p>In order to receive compensation for your participation, you will need to please replay the following games carefully at the links below:</p> <p> </p> <p> ############</p> <p> </p> <p><strong><u>Look for the Pattern!</u></strong></p> <p> </p> <p>************************</p> <p><i>Remember to please keep your volume at 100%, screen brightness at 100%, and look carefully for the pattern!</i></p> <p><span style=""font-size: 14pt;""><i> <strong>[survey-link:visual_ch_task:Replay Link Here]</strong></i></span></p> <p>############</p> <p> </p> <p>Thank you <strong><i>so much</i></strong> for your participation, and we apologize for any frustration! Your data is extremely valuable to us, and so we want to ensure we are able to use it! </p> <p> </p> <p>We are available via Google Voice, email, or Zoom should you wish to discuss any game instructions or technical difficulties!</p> <p> </p> <p>In order to expedite your payment <strong><i>please email us back when all games above have been replayed!</i></strong></p> <p> </p> <p>-----------------------------------------------</p> <p><strong>Powers Lab</strong></p> <p>Department of Psychiatry</p> <p>Yale University School of Medicine</p>",,{},{},Y,,,N
