Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,consent_baseline,,text,Record ID,,,,,,,,,,,,,
screening_pass,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Did the participant </span>pass screening<span style=""font-weight: normal;"">? </span></p> <p><span style=""font-weight: normal;"">IE </span>[phone_number] <span style=""font-weight: normal;"">is<a href=""https://www.spydialer.com/""> not a Sinch VOiP</a> and when you run the QC script it tells you ""IP address = SAFE!""? </span></p></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
timestamp_consent_bl,consent_baseline,,text,,,,date_mdy,,,,,,,,,, @HIDDEN @NOW
interested_spstudy_consent,consent_baseline,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">This is a longitudinal study for people planning a future serotonergic psychedelic use.</span></p> <p>You will complete consent, screening, a baseline session, brief pre-use surveys, and follow-up sessions around your next planned use: shortly before use, during and/or about 24 hours after use, 1-2 weeks after, and 1-6 months after.</p> <p>To continue, you should be at least 6 weeks out from your last serotonergic or atypical psychedelic use and willing to avoid additional serotonergic or atypical psychedelic use until your final follow-up is complete.</p> <p>Please confirm that the statements below apply to you.</p></div>","1, I have not used a serotonergic psychedelic in the past 6 weeks (we need a good baseline to compare to) | 2, I plan to use a MACRODOSE of a serotonergic psychedelic before the Fall of 2026. | 3, I am willing to complete ~2hr of games/questionnaires before, during AND/OR 24 hours after (you only need to do one of these two timepoints but may do both), 1-2 weeks after, and 1-6 months after your NEXT psychedelic use | 4, I will not use serotonergic or atypical psychedelics until the study is completed (read: at least 1 month after your next psychedelic use) | 5, I have NOT already completed a longitudinal psychedelic study for the Powers Lab | 6, I cannot do the above and do not want to begin screening for this study",,,,,,,y,,,,,
consent_prior_participant_msg,consent_baseline,,descriptive,"<p style='color:#8B0000;font-size:1.1em;'><strong>It looks like you indicated that you have already completed a longitudinal psychedelic study with the Powers Lab. Unfortunately, we are unable to re-enroll previous participants in this study.</strong></p><p style='color:#8B0000;font-size:1.1em;'><strong>If you selected this option accidentally, you may change your answers above and proceed &mdash; but <span style='font-size:1.2em;'>PLEASE BE CAREFUL MOVING FORWARD WITH THE REST OF THE STUDY!</span> We screen answers very closely to prevent fraud!</strong></p>",,,,,,,[interested_spstudy_consent___5]='1',,,,,,@READONLY
consent_no_proceed_msg,consent_baseline,,descriptive,"<p style='color:#8B0000;font-size:1.1em;'><strong>It looks like you selected that you do not wish to proceed with the study or screening. We appreciate your time and interest!</strong></p><p style='color:#8B0000;font-size:1.1em;'><strong>If you selected this option accidentally, you may change your answers above and proceed &mdash; but <span style='font-size:1.2em;'>PLEASE BE CAREFUL MOVING FORWARD WITH THE REST OF THE STUDY!</span> We screen answers very closely to prevent fraud!</strong></p>",,,,,,,[interested_spstudy_consent___6]='1',,,,,,@READONLY
study_summary,consent_baseline,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""font-size: 14pt;""><span style=""text-decoration: underline;"">Study</span> <span style=""text-decoration: underline;"">Summary</span></span></p> <hr> <p dir=""ltr""><span style=""font-size: 12pt;"">WHAT THE STUDY INVOLVES:</span></p> <ul> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">~2 hours<span style=""font-weight: normal;""> of time at your computer (this may be longer depending on how you answer) for</span> five different sessions. <span style=""font-weight: normal;""><em>You will </em></span><em>automatically</em><span style=""font-weight: normal;""><em> be directed to each new part but you can take </em></span><em>breaks</em><span style=""font-weight: normal;""><em> by sending yourself the survey link.</em></span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">Signing the below </span>consent form<span style=""font-weight: normal;"">, correctly answering the consent quiz, </span><span style=""font-weight: normal;"">and completing an </span>eligibility survey</p> </li> <li>SMS verification of a unique phone number</li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: normal;"">A</span> 24 - 48hr wait<span style=""font-weight: normal;""> while researchers </span>ensure eligibility </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">2 long questionnaires <span style=""font-weight: normal;"">about psychedelic and other drug use, mental health, how you think, and any unusual sensory experiences you've had.</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">4 online games <span style=""font-weight: normal;"">(10-25 minutes each)</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A few debriefing</span> <span style=""font-weight: normal;"">and</span> quality-control <span style=""font-weight: normal;"">questions</span><span style=""font-weight: normal;"">.</span></p> </li> <li dir=""ltr"" aria-level=""1""><span style=""font-weight: normal;"">You will repeat the </span>same games<span style=""font-weight: normal;""> but answer </span>fewer questionnaires<span style=""font-weight: normal;""> for each subsequent timepoint:</span></li> </ul> <p dir=""ltr""><span style=""font-size: 12pt;"">COMPENSATION:</span></p> <ul> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-size: 12pt;"">$50 </span><span style=""font-weight: normal;""><span style=""font-size: 12pt;"">via Amazon gift card </span>(emailed) for every timepoint (</span><span style=""font-size: 12pt;"">$250</span><span style=""font-weight: normal;""><span style=""font-size: 12pt;""> </span>total)</span></p> </li> </ul> <p><span style=""font-size: 12pt;"">RULES FOR PARTICIPATION:</span></p> <ul> <li dir=""ltr"" aria-level=""1"">Payment may be withheld<span style=""font-weight: normal;""> until you</span> replay the games <span style=""font-weight: normal;"">if</span> <span style=""font-weight: normal;"">your responses show that you </span>did not understand the rules<span style=""font-weight: normal;""> or </span>answered randomly<span style=""font-weight: normal;"">.</span></li> <li dir=""ltr"" aria-level=""1"">Payment may be withheld<span style=""font-weight: normal;""> if survey responses show you are</span> not paying attention<span style=""font-weight: normal;"">, have provided </span>fraudulent responses<span style=""font-weight: normal;"">, or </span>are likely to be taking the survey multiple times.</li> <li dir=""ltr"" aria-level=""1"">Payment may be withheld <span style=""font-weight: normal;"">if you </span>fail to complete all the games/questionnaires within the time limit for each timepoint <span style=""font-weight: normal;"">(72 hr for baseline)</span></li> </ul> <p dir=""ltr"">WHAT IS NEEDED TO PARTICIPATE:</p> <ol> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A </span>Computer<span style=""font-weight: normal;""> <span style=""font-size: 12pt;"">(not smartphone or tablet)</span></span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">Stable internet</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">Good </span>headphones</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;"">A </span>private<span style=""font-weight: normal;"">, </span>distraction-free <span style=""font-weight: normal;"">space</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation"">Plan <span style=""font-weight: normal;"">and</span> ability <span style=""font-weight: normal;"">to</span> safely use a psychedelic <span style=""font-weight: normal;"">before</span> October of 2026</p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""text-indent: -0.25in; font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; font-size: 12pt;"">No <span style=""font-weight: normal;"">serotonergic</span> <span style=""font-weight: normal;"">or</span> <span style=""font-weight: normal;"">atypical</span> psychedelic<span style=""font-weight: normal;""> use in the </span>past 6 weeks</span></p> </li> <li dir=""ltr"" aria-level=""1""> <p dir=""ltr"" role=""presentation""><span style=""font-weight: normal;""><strong id=""docs-internal-guid-07d09833-7fff-f38f-b3e2-18e36df1113b"">No same-day psychoactive drug-use </strong></span><strong id=""docs-internal-guid-07d09833-7fff-f38f-b3e2-18e36df1113b"" style=""font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">(besides nicotine or caffeine)</strong></p> </li> <li dir=""ltr"" aria-level=""1""><strong><span style=""font-weight: normal;"">A </span>cellphone<span style=""font-weight: normal;""> that can </span>receive SMS texts</strong></li> <li dir=""ltr"" aria-level=""1"">Willingness to abstain<span style=""font-weight: normal;""> from </span><i>other</i> serotonergic or atypical psychedelic use<span style=""font-weight: normal;""> (besides the single planned session) </span>until the final time point <span style=""font-weight: normal;"">is completed (</span><span style=""font-size: 12pt;"">minimum 1 month</span><span style=""font-weight: normal;""> after your next serotonergic psychedelic use)</span></li> </ol></div>",,,,,,,,,,,,,
consent_baseline,consent_baseline,,descriptive,"<div class=""rich-text-field-label""><p style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-size: 14pt;"">IMPORTANT:<span style=""font-weight: normal;""> <span style=""font-size: 12pt;"">please download and/or scroll through the attached PDF consent form -- <em>you will need to correctly answer a simple, brief quiz on aspects of this consent on the following page to ensure you understand what your participation consists of.</em></span></span></span></p> <p style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-weight: normal;"">Signing this consent form is required before we may collect any information from you. It does not obligate you to perform any study procedures whatsoever : ) </span></p></div>",,,,,,,,,,,,,
email_rpt,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please enter your </span><strong>email address</strong><span style=""font-weight: normal;"">. This will be used for </span><strong>(1) study communications</strong><span style=""font-weight: normal;""> and </span><strong>(2) sending your Amazon gift card payments</strong><span style=""font-weight: normal;"">. Make sure to use an email you check regularly.</span></p></div>",,,email,,,,,y,,,,,
email_rpt_2,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please </span><strong>re-enter</strong><span style=""font-weight: normal;""> your email address to confirm it is spelled correctly.</span></p></div>",,,email,,,,,y,,,,,
